"SITUACAO_CC","DURACAO_EMPRESTIMO","HISTORICO_CREDITO","PROPOSITO","TOTAL_CREDITO","POUPANCA","EMPREGADO_DESDE","TAXA_PAGTO","GENERO_ESTADO_CIVIL","DEVEDOR_FIADOR","ANOS_RESIDENCIA","BENS","IDADE","OUTROS_EMPRESTIMOS","HABITACAO","CREDITOS_EXISTENTES","TRABALHO","Number of people being liable to provide maintenance for","TELEFONE","TRABALHADOR_ESTRANGEIRO","Score"
"Negativa",12,"créditos existentes pagos devidamente até agora","rádio/televisão",2214,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",3,"contrato de poupança/seguro de vida da sociedade de construção",24,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Não Possui CC",21,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",12680,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",30,"Nenhum","de graça",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",24,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",2463,"100 a 500","4 a 7 anos",4,"homem (casado/viúvo)","Nenhum",3,"contrato de poupança/seguro de vida da sociedade de construção",27,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",12,"créditos existentes pagos devidamente até agora","rádio/televisão",1155,"menos de 100","mais de 7 anos",3,"homem (casado/viúvo)","fiador",3,"imóvel",40,"banco","próprio",2,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Negativa",30,"créditos existentes pagos devidamente até agora","móveis/equipamentos",3108,"menos de 100","menos de 1 ano",2,"homem (divorciado/separado)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",31,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","ruim"
"Não Possui CC",10,"créditos existentes pagos devidamente até agora","carro (usado)",2901,"desconhecido/sem conta poupança","menos de 1 ano",1,"mulher (divorciada/separada/casada)","Nenhum",4,"imóvel",31,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",12,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",3617,"menos de 100","mais de 7 anos",1,"masculino (solteiro)","Nenhum",4,"carro ou outro",28,"Nenhum","aluguel",3,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1655,"menos de 100","mais de 7 anos",2,"masculino (solteiro)","Nenhum",4,"imóvel",63,"Nenhum","próprio",2,"não qualificado - residente",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",24,"créditos existentes pagos devidamente até agora","carro (usado)",2812,"desconhecido/sem conta poupança","mais de 7 anos",2,"mulher (divorciada/separada/casada)","Nenhum",4,"imóvel",26,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",36,"conta crítica/outros créditos existentes (não neste banco)","Educação",8065,"menos de 100","1 a 4 anos",3,"mulher (divorciada/separada/casada)","Nenhum",2,"desconhecido/sem propriedade",25,"Nenhum","próprio",2,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",21,"conta crítica/outros créditos existentes (não neste banco)","carro (usado)",3275,"menos de 100","mais de 7 anos",1,"masculino (solteiro)","Nenhum",4,"carro ou outro",36,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",24,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",2223,"100 a 500","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",52,"banco","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Acima de 200",12,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",1480,"500 a 1000","Desempregado",2,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",66,"banco","de graça",3,"desempregado / não qualificado - não residente",1,"Nenhum","Sim","bom"
"Negativa",24,"créditos existentes pagos devidamente até agora","carro (novo)",1371,"desconhecido/sem conta poupança","1 a 4 anos",4,"mulher (divorciada/separada/casada)","Nenhum",4,"imóvel",25,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",36,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",3535,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",4,"carro ou outro",37,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",18,"créditos existentes pagos devidamente até agora","rádio/televisão",3509,"menos de 100","4 a 7 anos",4,"mulher (divorciada/separada/casada)","fiador",1,"imóvel",25,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",36,"conta crítica/outros créditos existentes (não neste banco)","carro (usado)",5711,"mais de 1000","mais de 7 anos",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",38,"Nenhum","próprio",2,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",18,"créditos existentes pagos devidamente até agora","reparos",3872,"menos de 100","Desempregado",2,"mulher (divorciada/separada/casada)","Nenhum",4,"carro ou outro",67,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",39,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",4933,"menos de 100","4 a 7 anos",2,"masculino (solteiro)","fiador",2,"imóvel",25,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",24,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",1940,"mais de 1000","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",60,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",12,"nenhum crédito recebido / todos os créditos pagos devidamente","reciclagem",1410,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","Nenhum",2,"imóvel",31,"Nenhum","próprio",1,"não qualificado - residente",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",12,"créditos existentes pagos devidamente até agora","carro (novo)",836,"100 a 500","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",23,"banco","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","ruim"
"0 - 200",20,"créditos existentes pagos devidamente até agora","carro (usado)",6468,"desconhecido/sem conta poupança","Desempregado",1,"homem (divorciado/separado)","Nenhum",4,"imóvel",60,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",18,"créditos existentes pagos devidamente até agora","negócios",1941,"mais de 1000","1 a 4 anos",4,"masculino (solteiro)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",35,"Nenhum","próprio",1,"não qualificado - residente",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",22,"créditos existentes pagos devidamente até agora","rádio/televisão",2675,"500 a 1000","mais de 7 anos",3,"masculino (solteiro)","Nenhum",4,"carro ou outro",40,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",48,"conta crítica/outros créditos existentes (não neste banco)","carro (usado)",2751,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",3,"carro ou outro",38,"Nenhum","próprio",2,"funcionário/funcionário qualificado",2,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",48,"atraso no pagamento no passado","Educação",6224,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",50,"Nenhum","de graça",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Negativa",40,"conta crítica/outros créditos existentes (não neste banco)","Educação",5998,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",3,"desconhecido/sem propriedade",27,"banco","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"0 - 200",21,"créditos existentes pagos devidamente até agora","negócios",1188,"menos de 100","mais de 7 anos",2,"mulher (divorciada/separada/casada)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",39,"Nenhum","próprio",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","ruim"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","carro (usado)",6313,"desconhecido/sem conta poupança","mais de 7 anos",3,"masculino (solteiro)","Nenhum",4,"carro ou outro",41,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",2,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",6,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",1221,"desconhecido/sem conta poupança","1 a 4 anos",1,"homem (casado/viúvo)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",27,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Acima de 200",24,"créditos existentes pagos devidamente até agora","móveis/equipamentos",2892,"menos de 100","mais de 7 anos",3,"homem (divorciado/separado)","Nenhum",4,"desconhecido/sem propriedade",51,"Nenhum","de graça",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","móveis/equipamentos",3062,"500 a 1000","mais de 7 anos",4,"masculino (solteiro)","Nenhum",3,"desconhecido/sem propriedade",32,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",9,"créditos existentes pagos devidamente até agora","móveis/equipamentos",2301,"100 a 500","menos de 1 ano",2,"mulher (divorciada/separada/casada)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",22,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",18,"créditos existentes pagos devidamente até agora","carro (usado)",7511,"desconhecido/sem conta poupança","mais de 7 anos",1,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",51,"Nenhum","de graça",1,"funcionário/funcionário qualificado",2,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",1258,"menos de 100","menos de 1 ano",2,"mulher (divorciada/separada/casada)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",22,"Nenhum","aluguel",2,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Não Possui CC",24,"atraso no pagamento no passado","carro (novo)",717,"desconhecido/sem conta poupança","mais de 7 anos",4,"homem (casado/viúvo)","Nenhum",4,"carro ou outro",54,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",9,"créditos existentes pagos devidamente até agora","carro (novo)",1549,"desconhecido/sem conta poupança","menos de 1 ano",4,"masculino (solteiro)","Nenhum",2,"imóvel",35,"Nenhum","próprio",1,"desempregado / não qualificado - não residente",1,"Nenhum","Sim","bom"
"Não Possui CC",24,"conta crítica/outros créditos existentes (não neste banco)","Educação",1597,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",54,"Nenhum","de graça",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","bom"
"0 - 200",18,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1795,"menos de 100","mais de 7 anos",3,"mulher (divorciada/separada/casada)","fiador",4,"imóvel",48,"banco","aluguel",2,"não qualificado - residente",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",20,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",4272,"menos de 100","mais de 7 anos",1,"mulher (divorciada/separada/casada)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",24,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",976,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"carro ou outro",35,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",12,"créditos existentes pagos devidamente até agora","carro (novo)",7472,"desconhecido/sem conta poupança","Desempregado",1,"mulher (divorciada/separada/casada)","Nenhum",2,"imóvel",24,"Nenhum","aluguel",1,"desempregado / não qualificado - não residente",1,"Nenhum","Sim","bom"
"Negativa",36,"créditos existentes pagos devidamente até agora","carro (novo)",9271,"menos de 100","4 a 7 anos",2,"masculino (solteiro)","Nenhum",1,"carro ou outro",24,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"0 - 200",6,"créditos existentes pagos devidamente até agora","rádio/televisão",590,"menos de 100","menos de 1 ano",3,"homem (casado/viúvo)","Nenhum",3,"imóvel",26,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Não","bom"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",930,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",65,"Nenhum","próprio",4,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",42,"todos os créditos neste banco foram devidamente pagos","carro (usado)",9283,"menos de 100","Desempregado",1,"masculino (solteiro)","Nenhum",2,"desconhecido/sem propriedade",55,"banco","de graça",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",15,"nenhum crédito recebido / todos os créditos pagos devidamente","carro (novo)",1778,"menos de 100","menos de 1 ano",2,"mulher (divorciada/separada/casada)","Nenhum",1,"imóvel",26,"Nenhum","aluguel",2,"desempregado / não qualificado - não residente",1,"Nenhum","Sim","ruim"
"0 - 200",8,"créditos existentes pagos devidamente até agora","negócios",907,"menos de 100","menos de 1 ano",3,"homem (casado/viúvo)","Nenhum",2,"imóvel",26,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",6,"créditos existentes pagos devidamente até agora","rádio/televisão",484,"menos de 100","4 a 7 anos",3,"homem (casado/viúvo)","fiador",3,"imóvel",28,"banco","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Negativa",36,"conta crítica/outros créditos existentes (não neste banco)","carro (usado)",9629,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",4,"carro ou outro",24,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Negativa",48,"créditos existentes pagos devidamente até agora","eletrodomésticos",3051,"menos de 100","1 a 4 anos",3,"masculino (solteiro)","Nenhum",4,"carro ou outro",54,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Negativa",48,"créditos existentes pagos devidamente até agora","carro (novo)",3931,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",46,"Nenhum","de graça",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","ruim"
"0 - 200",36,"atraso no pagamento no passado","carro (novo)",7432,"menos de 100","1 a 4 anos",2,"mulher (divorciada/separada/casada)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",54,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",6,"créditos existentes pagos devidamente até agora","eletrodomésticos",1338,"500 a 1000","1 a 4 anos",1,"homem (divorciado/separado)","Nenhum",4,"imóvel",62,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",6,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1554,"menos de 100","4 a 7 anos",1,"mulher (divorciada/separada/casada)","Nenhum",2,"carro ou outro",24,"Nenhum","aluguel",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",36,"créditos existentes pagos devidamente até agora","outros",15857,"menos de 100","Desempregado",2,"homem (divorciado/separado)","co-requerente",3,"carro ou outro",43,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"Nenhum","Sim","bom"
"Negativa",18,"créditos existentes pagos devidamente até agora","rádio/televisão",1345,"menos de 100","1 a 4 anos",4,"homem (casado/viúvo)","Nenhum",3,"imóvel",26,"banco","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",12,"créditos existentes pagos devidamente até agora","carro (novo)",1101,"menos de 100","1 a 4 anos",3,"homem (casado/viúvo)","Nenhum",2,"imóvel",27,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Acima de 200",12,"créditos existentes pagos devidamente até agora","rádio/televisão",3016,"menos de 100","1 a 4 anos",3,"homem (casado/viúvo)","Nenhum",1,"carro ou outro",24,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",36,"créditos existentes pagos devidamente até agora","móveis/equipamentos",2712,"menos de 100","mais de 7 anos",2,"masculino (solteiro)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",41,"banco","próprio",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","ruim"
"Negativa",8,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",731,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",47,"Nenhum","próprio",2,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Não Possui CC",18,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",3780,"menos de 100","menos de 1 ano",3,"homem (divorciado/separado)","Nenhum",2,"carro ou outro",35,"Nenhum","próprio",2,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",21,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",1602,"menos de 100","mais de 7 anos",4,"homem (casado/viúvo)","Nenhum",3,"carro ou outro",30,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",18,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",3966,"menos de 100","mais de 7 anos",1,"mulher (divorciada/separada/casada)","Nenhum",4,"imóvel",33,"banco","aluguel",3,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",18,"nenhum crédito recebido / todos os créditos pagos devidamente","negócios",4165,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","Nenhum",2,"carro ou outro",36,"lojas","próprio",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","ruim"
"Negativa",36,"créditos existentes pagos devidamente até agora","carro (usado)",8335,"desconhecido/sem conta poupança","mais de 7 anos",3,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",47,"Nenhum","de graça",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"0 - 200",48,"atraso no pagamento no passado","negócios",6681,"desconhecido/sem conta poupança","1 a 4 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",38,"Nenhum","de graça",1,"funcionário/funcionário qualificado",2,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",24,"atraso no pagamento no passado","negócios",2375,"500 a 1000","1 a 4 anos",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",44,"Nenhum","próprio",2,"funcionário/funcionário qualificado",2,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",18,"créditos existentes pagos devidamente até agora","carro (novo)",1216,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",3,"carro ou outro",23,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Negativa",45,"nenhum crédito recebido / todos os créditos pagos devidamente","negócios",11816,"menos de 100","mais de 7 anos",2,"masculino (solteiro)","Nenhum",4,"carro ou outro",29,"Nenhum","aluguel",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"0 - 200",24,"créditos existentes pagos devidamente até agora","rádio/televisão",5084,"desconhecido/sem conta poupança","mais de 7 anos",2,"mulher (divorciada/separada/casada)","Nenhum",4,"carro ou outro",42,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Acima de 200",15,"créditos existentes pagos devidamente até agora","rádio/televisão",2327,"menos de 100","menos de 1 ano",2,"mulher (divorciada/separada/casada)","Nenhum",3,"imóvel",25,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","ruim"
"Negativa",12,"nenhum crédito recebido / todos os créditos pagos devidamente","carro (novo)",1082,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",4,"carro ou outro",48,"banco","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",12,"créditos existentes pagos devidamente até agora","rádio/televisão",886,"desconhecido/sem conta poupança","1 a 4 anos",4,"mulher (divorciada/separada/casada)","Nenhum",2,"carro ou outro",21,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",4,"créditos existentes pagos devidamente até agora","móveis/equipamentos",601,"menos de 100","menos de 1 ano",1,"mulher (divorciada/separada/casada)","Nenhum",3,"imóvel",23,"Nenhum","aluguel",1,"não qualificado - residente",2,"Nenhum","Sim","bom"
"Negativa",24,"conta crítica/outros créditos existentes (não neste banco)","carro (usado)",2957,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",63,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",24,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",2611,"menos de 100","mais de 7 anos",4,"homem (casado/viúvo)","co-requerente",3,"imóvel",46,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",36,"créditos existentes pagos devidamente até agora","móveis/equipamentos",5179,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",29,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",21,"atraso no pagamento no passado","carro (usado)",2993,"menos de 100","1 a 4 anos",3,"masculino (solteiro)","Nenhum",2,"imóvel",28,"lojas","próprio",2,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Não Possui CC",18,"créditos existentes pagos devidamente até agora","reparos",1943,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",4,"imóvel",23,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",24,"todos os créditos neste banco foram devidamente pagos","negócios",1559,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",4,"carro ou outro",50,"banco","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",18,"créditos existentes pagos devidamente até agora","móveis/equipamentos",3422,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",47,"banco","próprio",3,"funcionário/funcionário qualificado",2,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",21,"créditos existentes pagos devidamente até agora","móveis/equipamentos",3976,"desconhecido/sem conta poupança","4 a 7 anos",2,"masculino (solteiro)","Nenhum",3,"carro ou outro",35,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",18,"créditos existentes pagos devidamente até agora","carro (novo)",6761,"desconhecido/sem conta poupança","1 a 4 anos",2,"masculino (solteiro)","Nenhum",4,"carro ou outro",68,"Nenhum","aluguel",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","carro (novo)",1249,"menos de 100","menos de 1 ano",4,"homem (casado/viúvo)","Nenhum",2,"imóvel",28,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",9,"créditos existentes pagos devidamente até agora","rádio/televisão",1364,"menos de 100","4 a 7 anos",3,"masculino (solteiro)","Nenhum",4,"imóvel",59,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",12,"créditos existentes pagos devidamente até agora","rádio/televisão",709,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",57,"lojas","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","ruim"
"Negativa",20,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",2235,"menos de 100","1 a 4 anos",4,"homem (casado/viúvo)","fiador",2,"contrato de poupança/seguro de vida da sociedade de construção",33,"banco","aluguel",2,"funcionário/funcionário qualificado",1,"Nenhum","Não","ruim"
"Não Possui CC",24,"conta crítica/outros créditos existentes (não neste banco)","carro (usado)",4042,"desconhecido/sem conta poupança","4 a 7 anos",3,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",43,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",15,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1471,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",35,"Nenhum","de graça",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",18,"todos os créditos neste banco foram devidamente pagos","carro (novo)",1442,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",32,"Nenhum","de graça",2,"não qualificado - residente",2,"Nenhum","Sim","ruim"
"Não Possui CC",36,"atraso no pagamento no passado","carro (novo)",10875,"menos de 100","mais de 7 anos",2,"masculino (solteiro)","Nenhum",2,"carro ou outro",45,"Nenhum","próprio",2,"funcionário/funcionário qualificado",2,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","carro (novo)",1474,"100 a 500","menos de 1 ano",4,"homem (casado/viúvo)","Nenhum",3,"imóvel",33,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",10,"créditos existentes pagos devidamente até agora","reciclagem",894,"desconhecido/sem conta poupança","4 a 7 anos",4,"mulher (divorciada/separada/casada)","Nenhum",3,"contrato de poupança/seguro de vida da sociedade de construção",40,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",15,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",3343,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",2,"desconhecido/sem propriedade",28,"Nenhum","de graça",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
